text,date,compound,positive,negative,neutral
Blue Ridge Bank shares halted by NYSE after #bitcoin ATM announcement https://t.co/xaaZmaJKiV @MyBlueRidgeBank… https://t.co/sgBxMkP1SI,7/1/20,0.296,0.145,0,0.855
"😎 Today, that's this #Thursday, we will do a ""🎬 Take 2"" with our friend @LeoWandersleb, #Btc #wallet #security expe… https://t.co/go6aDgRml5",7/2/20,0.4939,0.151,0,0.849
"Guys evening, I have read this article about BTC and would like to share with you all - https://t.co/QxCZgmuy3B… https://t.co/o6wn7ppkVY",7/3/20,0.5719,0.227,0,0.773
$BTC A big chance in a billion! Price: \4872644.0 (2021/02/11 08:51) #Bitcoin #FX #BTC #crypto,7/4/20,0.3164,0.16,0,0.84
"This network is secured by 9 508 nodes as of today. Soon, the biggest bears will recognise: #BTC in too big to fail… https://t.co/1XovDA8rKw",7/5/20,0.4019,0.109,0,0.891
"💹 Trade #Crypto on #Binance 

📌 Enjoy #Cashback 10% of the Trading fee
📌 Sign up link 👉 https://t.co/T4WttWeohc… https://t.co/Fc7dG5oI8W",7/6/20,0.4939,0.176,0,0.824
"&lt;'fire' &amp; 'man'&gt;
#Bitcoin #Crypto #BTC https://t.co/CV9IyODy55",7/7/20,0,0,0,1
"🔄 Prices update in $EUR (1 hour):

$BTC   - 37082.1 €  (-0.51 %)
$ETH   - 1441.59 €  (+0.21 %)
$XRP   - 0.42 €    (… https://t.co/y3wlhAv2SX",7/8/20,-0.2023,0,0.149,0.851
"#BTC #Bitcoin #Ethereum #ETH #Crypto #cryptotrading 

$RSR I know i told you guys the target was $0.060, i know we… https://t.co/bvEtSnhs67",7/9/20,0,0,0,1
.@Tesla’s #bitcoin investment is revolutionary for #crypto but other firms may not do the same just yet - @JPMorgan… https://t.co/WyKWfh0ELw,7/10/20,0,0,0,1
Annnd #btc #Bitcoin is headed even higher now... https://t.co/EHAduI087d,7/11/20,0,0,0,1
"🔄 Prices update in $USDT (1 hour):

$BTC - 44853.08 $     (-0.48 %)
$ETH - 1740.0 $       (-0.02 %)
$XRP - 0.5 $… https://t.co/v5oGvW7kLm",7/12/20,-0.2023,0,0.149,0.851
"Join our first virtual crypto meetup of 2021 - Crypto Fridays!

There is something for everyone, whether you're an… https://t.co/rPINdw6hCc",7/13/20,0.3595,0.122,0,0.878
#Bitcoin #BTC $BTC $GBTC $RIOT $MARA $ETH $ETHE #AAVE #DeFi $AAVE $COMP $CGLD $GRT #Crypto #cryptocurrency $XLM https://t.co/YiueUQr360,7/14/20,0,0,0,1
"⬆️⬆️ $BTC BUYING PRESSURE ALERT 📈 Price trading around 44843
          https://t.co/iMB1mj8Cs1 👈 #Bitcoin #crypto #BTC",7/15/20,0,0.174,0.174,0.652
Buy #Bitcoin with 5% LIFETIME cashback on fees on the largest #cryptocurrency exchange with the link below.… https://t.co/Nr2Znh0qOx,7/16/20,0,0,0,1
"@naval #BTC is unconfiscatable 

All roads lead to #Bitcoin",7/17/20,0,0,0,1
$BTC A big chance in a million! Price: \4898631.0 (2021/02/11 08:45) #Bitcoin #FX #BTC #crypto,7/18/20,0.3164,0.16,0,0.84
#Bitcoin institutional demand accelerates in 2021 says @Grayscale CEO https://t.co/HsbFlBwAL8 #BTC $BTC #crypto #cryptocurrency $GBTC,7/19/20,-0.128,0,0.097,0.903
"Signal: $TFUEL
#TFUEL #ThetaFuel #Binance #Crypto #Signaler #Signal #BTC #Bitcoin https://t.co/0ZBX9pMGkB",7/20/20,0,0,0,1
"$ADA Sky rocket 🔥🚀 #Patience 🔑
$1 Soon !!! 
#ada #adausdt #btc #bitcoin #adacoin https://t.co/W5XI5fDemG",7/21/20,0,0,0,1
