date,India,Republic of Korea,Brazil,Spain,United States of America,Mexico,Germany,China,Total_cases
1/3/20,0,0,0,0,0,0,0,0,0
1/4/20,0,0,0,0,0,0,1,1,2
1/5/20,0,0,0,0,0,0,1,1,2
1/6/20,0,0,0,0,0,0,1,4,5
1/7/20,0,0,0,0,0,0,1,4,5
1/8/20,0,0,0,0,0,0,1,4,5
1/9/20,0,0,0,0,0,0,1,4,5
1/10/20,0,0,0,0,0,0,1,4,5
1/11/20,0,0,0,1,0,0,1,4,6
1/12/20,0,0,0,2,0,0,1,45,48
1/13/20,0,0,0,2,0,0,1,45,48
1/14/20,0,0,0,3,0,0,1,45,49
1/15/20,0,0,0,3,0,0,1,45,49
1/16/20,0,0,0,3,0,0,1,45,49
1/17/20,0,0,0,3,0,0,1,49,53
1/18/20,0,0,0,3,0,0,1,49,53
1/19/20,0,1,0,3,0,0,1,125,130
1/20/20,0,1,0,4,1,0,1,202,209
1/21/20,0,1,0,4,1,0,1,295,302
1/22/20,0,1,0,4,1,0,1,442,449
1/23/20,0,1,0,5,1,0,1,574,582
1/24/20,0,2,0,5,1,0,2,835,845
1/25/20,0,2,0,5,6,0,2,1297,1312
1/26/20,0,3,0,5,7,0,2,1985,2002
1/27/20,0,4,0,5,7,0,2,2761,2779
1/28/20,0,4,0,5,8,0,2,4533,4552
1/29/20,0,4,0,5,8,0,4,5997,6018
1/30/20,1,7,0,5,8,0,6,7736,7763
1/31/20,5,11,0,5,8,0,6,9720,9755
2/1/20,5,12,0,5,8,0,10,11821,11861
2/2/20,2,15,0,6,9,0,11,14411,14454
2/3/20,3,15,0,6,10,0,11,17238,17283
2/4/20,7,16,0,6,13,0,12,20471,20525
2/5/20,7,21,0,6,17,0,16,24363,24430
2/6/20,7,24,0,6,19,0,18,28060,28134
2/7/20,7,24,0,6,19,0,19,31211,31286
2/8/20,7,24,0,6,19,0,20,34598,34674
2/9/20,7,27,0,6,20,0,20,37251,37331
2/10/20,7,28,0,6,20,0,20,40235,40316
2/11/20,7,28,0,7,20,0,21,42708,42791
2/12/20,7,28,0,7,20,0,23,44730,44815
2/13/20,7,28,0,7,20,0,24,59882,59968
2/14/20,7,28,0,10,22,0,24,63932,64023
2/15/20,7,28,0,10,23,0,24,66576,66668
2/16/20,7,30,0,10,24,0,25,68584,68680
2/17/20,7,30,0,10,24,0,25,70635,70731
2/18/20,7,32,0,10,24,0,27,72528,72628
2/19/20,7,66,0,10,26,0,28,74278,74415
2/20/20,7,82,0,10,31,0,28,74675,74833
2/21/20,7,156,0,10,34,1,30,75568,75806
2/22/20,7,346,0,10,35,1,30,76393,76822
2/23/20,7,556,0,11,40,1,30,77042,77687
2/24/20,7,763,0,12,48,1,30,77262,78123
2/25/20,7,893,0,14,48,1,31,77779,78773
2/26/20,7,1146,0,16,52,1,34,78190,79446
2/27/20,7,1595,1,17,56,1,42,78630,80349
2/28/20,7,2022,1,24,64,4,66,78959,81147
2/29/20,7,2931,1,47,69,4,112,79389,82560
3/1/20,7,3526,1,70,73,6,135,79968,83786
3/2/20,5,4212,2,89,82,8,170,80174,84742
3/3/20,9,4812,2,126,100,10,213,80302,85574
3/4/20,28,5328,2,198,135,15,297,80422,86425
3/5/20,29,5766,2,283,186,24,454,80565,87309
3/6/20,31,6284,3,382,256,34,640,80710,88340
3/7/20,34,6767,8,572,334,45,827,80813,89400
3/8/20,39,7134,13,846,464,51,969,80859,90375
3/9/20,44,7382,19,1136,610,58,1074,80904,91227
3/10/20,50,7513,25,1505,824,66,1421,80924,92328
3/11/20,60,7755,25,2155,1215,71,2016,80955,94252
3/12/20,73,7869,34,3191,1712,88,2773,80980,96720
3/13/20,81,7979,60,4537,2241,127,3764,80991,99780
3/14/20,84,8086,77,6348,2976,168,5228,81021,103988
3/15/20,107,8162,84,8526,3927,234,6531,81048,108619
3/16/20,114,8236,121,10558,5145,286,7511,81077,113048
3/17/20,137,8320,200,12868,7318,323,9548,81117,119831
3/18/20,151,8413,234,16133,9662,400,12581,81151,128725
3/19/20,173,8565,291,20616,12868,504,16181,81237,140435
3/20/20,223,8652,428,25402,17755,620,20242,81300,154622
3/21/20,283,8799,428,31283,23874,771,24299,81416,171153
3/22/20,360,8897,904,37814,31412,903,27656,81498,189444
3/23/20,434,8961,904,43607,40538,988,29921,81601,206954
3/24/20,519,9037,1546,48933,51380,1058,33652,81747,227872
3/25/20,606,9137,1891,57139,62064,1226,38531,81848,252442
3/26/20,649,9241,2201,66866,73458,1446,44212,81961,280034
3/27/20,724,9332,2433,77004,87547,1631,50114,82078,310863
3/28/20,909,9478,2915,87118,106082,1855,56095,82213,346665
3/29/20,979,9583,3417,96214,126291,2117,60815,82341,381757
3/30/20,1071,9661,3903,103314,147102,2308,63892,82447,413698
3/31/20,1251,9786,4256,108407,173398,2474,68011,82545,450128
4/1/20,1637,9887,4579,116417,188658,2819,74070,82631,480698
4/2/20,1965,9976,5717,124343,212367,3130,80329,82724,520551
4/3/20,2301,10062,6836,131408,240796,3512,86879,82802,564596
4/4/20,2902,10156,7910,138318,270669,3859,93069,82875,609758
4/5/20,3374,10237,9056,145140,302417,4251,97410,82930,654815
4/6/20,4067,10284,10278,149812,334935,4501,99946,83005,696828
4/7/20,4421,10331,11130,152959,362000,4760,103606,83072,732279
