date,India,Republic of Korea,Brazil,Spain,United States of America,Mexico,Germany,China,Total_deaths
1/3/20,0,0,0,0,0,0,0,0,0
1/4/20,0,0,0,0,0,0,0,0,0
1/5/20,0,0,0,0,0,0,0,0,0
1/6/20,0,0,0,0,0,0,0,0,0
1/7/20,0,0,0,0,0,0,0,0,0
1/8/20,0,0,0,0,0,0,0,0,0
1/9/20,0,0,0,0,0,0,0,0,0
1/10/20,0,0,0,0,0,0,0,0,0
1/11/20,0,0,0,0,0,0,0,0,0
1/12/20,0,0,0,0,0,0,0,1,1
1/13/20,0,0,0,0,0,0,0,1,1
1/14/20,0,0,0,0,0,0,0,1,1
1/15/20,0,0,0,0,0,0,0,1,1
1/16/20,0,0,0,0,0,0,0,1,1
1/17/20,0,0,0,0,0,0,0,2,2
1/18/20,0,0,0,0,0,0,0,2,2
1/19/20,0,0,0,0,0,0,0,3,3
1/20/20,0,0,0,0,0,0,0,4,4
1/21/20,0,0,0,0,0,0,0,6,6
1/22/20,0,0,0,0,0,0,0,17,17
1/23/20,0,0,0,0,0,0,0,18,18
1/24/20,0,0,0,0,0,0,0,26,26
1/25/20,0,0,0,0,0,0,0,42,42
1/26/20,0,0,0,0,0,0,0,56,56
1/27/20,0,0,0,0,0,0,0,82,82
1/28/20,0,0,0,0,0,0,0,131,131
1/29/20,0,0,0,0,0,0,0,133,133
1/30/20,0,0,0,0,0,0,0,171,171
1/31/20,0,0,0,0,0,0,0,213,213
2/1/20,0,0,0,0,0,0,0,259,259
2/2/20,0,0,0,0,0,0,0,361,361
2/3/20,0,0,0,0,0,0,0,425,425
2/4/20,0,0,0,0,0,0,0,491,491
2/5/20,0,0,0,0,0,0,0,563,563
2/6/20,0,0,0,0,0,0,0,633,633
2/7/20,0,0,0,0,0,0,0,718,718
2/8/20,0,0,0,0,0,0,0,805,805
2/9/20,0,0,0,0,0,0,0,905,905
2/10/20,0,0,0,0,0,0,0,1012,1012
2/11/20,0,0,0,0,0,0,0,1112,1112
2/12/20,0,0,0,0,0,0,0,1117,1117
2/13/20,0,0,0,0,0,0,0,1369,1369
2/14/20,0,0,0,0,0,0,0,1521,1521
2/15/20,0,0,0,1,0,0,0,1663,1664
2/16/20,0,0,0,1,0,0,0,1767,1768
2/17/20,0,0,0,1,0,0,0,1865,1866
2/18/20,0,0,0,1,0,0,0,2004,2005
2/19/20,0,0,0,1,0,0,0,2117,2118
2/20/20,0,1,0,1,0,0,0,2239,2241
2/21/20,0,1,0,1,0,0,1,2239,2242
2/22/20,0,3,0,1,0,0,1,2444,2449
2/23/20,0,3,0,1,0,0,1,2446,2451
2/24/20,0,7,0,1,0,0,1,2596,2605
2/25/20,0,8,0,1,0,0,1,2666,2676
2/26/20,0,11,0,1,0,0,1,2718,2731
2/27/20,0,12,0,1,0,0,1,2747,2761
2/28/20,0,13,0,1,0,0,1,2791,2806
2/29/20,0,16,0,1,1,0,1,2838,2857
3/1/20,0,17,0,1,1,0,1,2873,2893
3/2/20,0,23,0,1,2,0,1,2915,2942
3/3/20,0,28,0,1,2,0,1,2948,2980
3/4/20,0,32,0,1,8,0,1,2984,3026
3/5/20,0,35,0,2,11,0,3,3016,3067
3/6/20,0,42,0,4,13,0,4,3045,3108
3/7/20,0,44,0,5,16,0,8,3073,3146
3/8/20,0,50,0,8,19,0,12,3101,3190
3/9/20,0,51,0,11,24,0,13,3124,3223
3/10/20,0,54,0,25,28,0,20,3140,3267
3/11/20,0,60,0,42,32,0,24,3162,3320
3/12/20,0,66,0,70,39,0,34,3173,3382
3/13/20,1,67,0,105,51,0,46,3181,3451
3/14/20,2,72,0,164,58,0,62,3194,3552
3/15/20,2,75,0,243,69,0,82,3204,3675
3/16/20,2,75,0,351,82,0,97,3218,3825
3/17/20,3,81,0,482,101,0,132,3231,4030
3/18/20,3,84,0,665,122,0,176,3242,4292
3/19/20,4,91,1,856,149,0,239,3250,4590
3/20/20,4,94,4,1102,213,3,304,3255,4979
3/21/20,4,102,4,1424,282,3,400,3261,5480
3/22/20,7,104,11,1857,374,4,495,3267,6119
3/23/20,9,111,11,2363,486,4,575,3276,6835
3/24/20,9,120,25,2914,608,6,705,3283,7670
3/25/20,10,126,34,3600,768,7,872,3287,8704
3/26/20,13,131,46,4323,980,10,1090,3293,9886
3/27/20,17,139,57,5147,1282,12,1357,3298,11309
3/28/20,19,144,77,6018,1619,20,1622,3301,12820
3/29/20,25,152,92,6927,2105,28,1869,3306,14504
3/30/20,29,158,114,7766,2664,43,2035,3310,16119
3/31/20,32,162,136,8577,3333,52,2301,3314,17907
4/1/20,38,165,159,9490,3958,66,2684,3321,19881
4/2/20,50,169,201,10389,4945,92,3060,3327,22233
4/3/20,56,174,241,11284,6066,114,3480,3331,24746
4/4/20,68,177,299,12142,7375,140,3877,3335,27413
4/5/20,77,183,359,12928,8745,174,4123,3338,29927
4/6/20,109,186,432,13668,10292,214,4305,3340,32546
4/7/20,114,192,486,14418,12161,247,4596,3340,35554
4/8/20,149,200,553,15184,13860,305,4936,3342,38529
4/9/20,169,204,667,15920,15956,367,5280,3344,41907
4/10/20,199,208,800,16669,18199,416,5606,3345,45442
4/11/20,239,211,941,17336,20406,478,5815,3349,48775
4/12/20,273,214,1056,18012,22634,556,6016,3349,52110
4/13/20,308,217,1124,18640,24836,637,6185,3351,55298
4/14/20,339,222,1223,19184,26703,725,6349,3351,58096
4/15/20,377,225,1328,19771,28594,827,6568,3352,61042
4/16/20,414,229,1532,20378,31062,941,6801,3352,64709
4/17/20,437,230,1736,20930,33765,1056,6992,3352,68498
4/18/20,480,232,1924,21417,36220,1163,7166,4642,73244
4/19/20,507,234,2141,21924,38533,1305,7289,4642,76575
4/20/20,543,236,2347,22359,40408,1442,7408,4642,79385
4/21/20,590,237,2462,22760,42416,1623,7558,4642,82288
4/22/20,640,238,2575,23147,44474,1834,7699,4642,85249
4/23/20,681,240,2741,23574,47123,2049,7824,4642,88874
4/24/20,718,240,2906,23918,49368,2265,7941,4642,91998
4/25/20,775,240,3313,24249,51367,2495,8025,4642,95106
4/26/20,824,242,3670,24579,53459,2758,8105,4642,98279
4/27/20,872,243,4016,24874,55325,3048,8135,4643,101156
4/28/20,934,244,4205,25146,56870,3358,8210,4643,103610
4/29/20,1007,246,4543,25404,58383,3643,8293,4643,106162
4/30/20,1074,247,5017,25663,60490,3969,8351,4643,109454
5/1/20,1147,248,5466,25899,62907,4355,8422,4643,113087
5/2/20,1218,250,5901,26122,65144,4709,8470,4643,116457
5/3/20,1301,250,6329,26298,67069,5119,8506,4643,119515
5/4/20,1373,252,6750,26500,68677,5477,8522,4643,122194
5/5/20,1568,254,7025,26697,70113,5846,8563,4643,124709
5/6/20,1694,255,7321,26883,71360,6307,8608,4643,127071
5/7/20,1783,256,7921,27066,73795,6756,8648,4643,130868
5/8/20,1886,256,8536,27219,76135,7170,8697,4643,134542
5/9/20,1981,256,9146,27385,78211,7573,8742,4643,137937
5/10/20,2109,256,9897,27531,79826,8012,8765,4643,141039
